Group hierarchy;Region;Service;Upfront;Monthly;First 12 months total;Currency;Configuration summary
My Estimate;US East (N. Virginia);Amazon Virtual Private Cloud (VPC);0; $35,10 ;421,2;USD;Number of NAT Gateways (1)
My Estimate;US East (N. Virginia);Elastic Load Balancing;0; $4.120,85 ;49450.20;USD;Number of Application Load Balancers (2)
My Estimate;US East (N. Virginia);Amazon EC2;0; $988,40 ;11860.80;USD;Operating system (Linux), Quantity (20), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (m5a.large)
My Estimate;US East (N. Virginia);Amazon EC2;0; $1.557,08 ;18684.96;USD;Operating system (Linux), Quantity (15), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (a1.2xlarge)
My Estimate;US East (N. Virginia);S3 Standard;0; $9,38 ;112.56;USD;S3 Standard storage (300 GB per month)
My Estimate;US East (N. Virginia);S3 One Zone - Infrequent Access;0; $10,15 ;121.81;USD;S3 One Zone-IA storage (300 GB per month)
My Estimate;US East (N. Virginia);S3 Glacier;0; $1,46 ;17.52;USD;S3 Glacier storage (300 GB per month)
My Estimate;US East (N. Virginia);Data Transfer;0; $92,07 ;1104.84;USD;Data Transfer, Data transfer cost (92.07)
My Estimate;US East (N. Virginia);Amazon CloudWatch;0; $471,26 ;5655.15;USD;
My Estimate;US East (N. Virginia);Amazon Elastic IP;0; $7,30 ;87.60;USD;Number of EC2 instances (2), Number of EIPs per instance (2)
My Estimate;US East (N. Virginia);Amazon Route 53;0; $141,25 ;1695.00;USD;Hosted Zones (1), Basic Checks Within AWS (3)
My Estimate;US East (N. Virginia);Amazon RDS for PostgreSQL;0; $1.411,47 ;16937.64;USD;Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (1 TB per month), Instance type (db.r5.xlarge), Additional backup storage (1 TB)
My Estimate;US West (Oregon);S3 Standard;0; $9,38 ;112.56;USD;S3 Standard storage (300 GB per month)
My Estimate;US West (Oregon);S3 One Zone - Infrequent Access;0; $10,15 ;121.81;USD;S3 One Zone-IA storage (300 GB per month)
My Estimate;US West (Oregon);S3 Glacier;0; $1,46 ;17.52;USD;S3 Glacier storage (300 GB per month)
My Estimate;US West (Oregon);Data Transfer;0; $92,07 ;1104.84;USD;Data Transfer, Data transfer cost (92.07)
My Estimate;US West (Oregon);Amazon RDS for PostgreSQL;0; $1.411,47 ;16937.64;USD;Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (1 TB per month), Instance type (db.r5.xlarge), Additional backup storage (1 TB)
My Estimate;US East (N. Virginia);AWS Web Application Firewall (WAF);0; $935,00 ;11220.00;USD;Number of Web Access Control Lists (Web ACLs) utilized (5 per month), Number of Rules added per Web ACL (10 per month)
My Estimate;US West (Oregon);Amazon Route 53;0; $141,25 ;1695.00;USD;Hosted Zones (1), Basic Checks Within AWS (3)
My Estimate;US West (Oregon);Amazon EC2;0; $988,40 ;11860.80;USD;Operating system (Linux), Quantity (20), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (m5a.large)
My Estimate;US West (Oregon);Amazon EC2;0; $1.557,08 ;18684.96;USD;Operating system (Linux), Quantity (15), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (a1.2xlarge)
My Estimate;South America (Sao Paulo);S3 Standard;0; $16,95 ;203.40;USD;S3 Standard storage (300 GB per month)
My Estimate;South America (Sao Paulo);S3 One Zone - Infrequent Access;0; $1,40 ;167.89;USD;S3 One Zone-IA storage (300 GB per month)
